Links,Address,Description,Price
https://www.rightmove.co.uk/properties/125570768#/?channel=RES_LET,"Gillender Street, London, E3 3JX, UK",1 bedroom apartment,2330
https://www.rightmove.co.uk/properties/126489860#/?channel=RES_LET,"Arrival Square, London, E1W",1 bedroom flat,2850
https://www.rightmove.co.uk/properties/126489857#/?channel=RES_LET,"New Festival Quarter, London, E14",2 bedroom flat,2400
https://www.rightmove.co.uk/properties/126222200#/?channel=RES_LET,"Emery Wharf, London Dock, E1W",3 bedroom apartment,4800
https://www.rightmove.co.uk/properties/126488426#/?channel=RES_LET,"St Katherine's Way, Wapping, E1W",2 bedroom flat,2200
https://www.rightmove.co.uk/properties/126488030#/?channel=RES_LET,"Felix Point, New Festival Quarter, Poplar E14",2 bedroom apartment,2167
https://www.rightmove.co.uk/properties/126488021#/?channel=RES_LET,"Wingfield Court, Newport Avenue, Poplar E14",2 bedroom apartment,2167
https://www.rightmove.co.uk/properties/125570768#/?channel=RES_LET,"Gillender Street, London, E3 3JX, UK",1 bedroom apartment,2330
https://www.rightmove.co.uk/properties/122407694#/?channel=RES_LET,"Harbour Way, London, E14 9XP, UK",3 bedroom apartment,6750
https://www.rightmove.co.uk/properties/116603504#/?channel=RES_LET,"Torquay Court, E14",3 bedroom flat,2752
https://www.rightmove.co.uk/properties/126086963#/?channel=RES_LET,"Maynards Quay, London, E1W",2 bedroom flat,3499
https://www.rightmove.co.uk/properties/126481076#/?channel=RES_LET,"Millennium Drive, Docklands, London E14",1 bedroom apartment,1603
https://www.rightmove.co.uk/properties/126481061#/?channel=RES_LET,"Felstead Gardens, Ferry Street, Docklands, London E14",2 bedroom apartment,1863
https://www.rightmove.co.uk/properties/126480971#/?channel=RES_LET,"Turner House, London, E14",3 bedroom flat,3685
https://www.rightmove.co.uk/properties/126480956#/?channel=RES_LET,"Commercial Street, London, E1",1 bedroom flat,2250
https://www.rightmove.co.uk/properties/114985763#/?channel=RES_LET,"Alie Street, London, E1 8GZ, UK",2 bedroom apartment,3830
https://www.rightmove.co.uk/properties/122407277#/?channel=RES_LET,"Harbour Way, London, E14 9XP, UK",1 bedroom apartment,4240
https://www.rightmove.co.uk/properties/106608242#/?channel=RES_LET,"Kimberley House, Galbraith Street, London, E14",1 bedroom apartment,1500
https://www.rightmove.co.uk/properties/126452288#/?channel=RES_LET,"1 Park Drive,  Canary Wharf, E14",1 bedroom apartment,3185
https://www.rightmove.co.uk/properties/126479450#/?channel=RES_LET,"Sterling Mansions, Goodman's Fields, Aldgate E1",2 bedroom apartment,3683
https://www.rightmove.co.uk/properties/52906524#/?channel=RES_LET,"St Katherine's Way, E1W",2 bedroom flat,2102
https://www.rightmove.co.uk/properties/126479423#/?channel=RES_LET,"Shearsmith House, Cable Street, E1",2 bedroom flat,1800
https://www.rightmove.co.uk/properties/126475565#/?channel=RES_LET,"Walden Street, Whitechapel, London, E1",4 bedroom terraced house,3400
https://www.rightmove.co.uk/properties/126475172#/?channel=RES_LET,"Wilmot Street, London, E2",1 bedroom apartment,1550
https://www.rightmove.co.uk/properties/77825137#/?channel=RES_LET,"Truman Walk, St Andrews, E3",1 bedroom flat,1551
